Response	Times Correct	Times Incorrect	Total Appearances
a=b+c(x)+b+c(-d)	0	1	1
a*x-a=____	0	1	1
a+x-a=0-a	1	0	1
____=-x/ax	0	1	1
-x*(-b)=____	0	1	1
a(ax+b)/a=____	1	0	1
a=b+c(dx)+-f	1	0	1
ax+(-c)=d	1	0	1
a/a(ax-b)=____	1	0	1
a=d-cx	0	1	1
____=-b+ex-e	0	1	1
c=a	0	1	1
-ax+ax-b=-cx+ax+d	1	0	1
a-b=a-b+-x	0	1	1
-x/b=-a	0	1	1
-b+b+ax=c+b	1	0	1
a-b+bx-a=c-a	1	0	1
____=cx+c-c	0	1	1
cx-ax=dx	0	1	1
-e+ax=-d+e	0	1	1
ax-x-b=x-x+c	1	0	1
____=b+c(x)	0	1	1
-c/-d=____	0	1	1
a=-x-a	0	1	1
a=-x-b	0	1	1
a-a=-c	0	1	1
c=-d	0	1	1
a=-e+c	0	1	1
a-b=b+b+x	0	1	1
-x/-a=-x/c	0	1	1
-x/bx=____	0	1	1
b=b-b=+x	0	1	1
a(-b)+=____	0	1	1
-x=c-a	0	1	1
a=b+fx+e	0	1	1
____=b-b-a	0	1	1
-x/-b=-a.-b	0	1	1
x+-0=____	0	1	1
-e+=____	0	1	1
____=x+a-a	0	1	1
a=bx+(-d)	1	0	1
x=b\	0	1	1
-a/-`=____	0	1	1
a+c=b	0	1	1
-a=c+bx	0	1	1
____=a+0	0	1	1
-a+a+bx\=____	0	1	1
a+0=____	0	1	1
(a*-b)+(a*cx)=d	1	0	1
ax=-c--b	1	0	1
a=d-e	0	1	1
____=a(bx)-a(c)	0	1	1
a(x)+e+(c)=____	0	1	1
a=-b+c(x)+-c	1	0	1
x=bx	0	1	1
dx+a*b=c	1	0	1
c-b=b-b+x	0	1	1
a-b=b-b+x\	0	1	1
a+(-b+bx)=____	1	0	1
a*-b+b-x=____	0	1	1
ax+c-c=bx-c	1	0	1
(a(-b+x)=____	0	1	1
ax-ax-c=____	0	1	1
-x=b/-a	0	1	1
-x=b/-c	0	1	1
____=a+d	0	1	1
____=a+c	0	1	1
____=a+b	0	1	1
ax+b-=____	0	1	1
a=cx+e-e	0	1	1
(-b+bx)=b	1	0	1
____=a+x	0	1	1
b=-b+a	0	1	1
a(b)+a(-b)x=c	0	1	1
x-0=-c	0	1	1
ax+b-b=a-b	1	0	1
a/b=b/b-x	0	1	1
ax+b+=____	0	1	1
d(aX-b=b)=____	0	1	1
____=-x\-b	0	1	1
-a/-b=-b/b	0	1	1
hyeyhertcj=____	0	1	1
a+c=-b+cx+-c+c	1	0	1
a+(-b+bx)=d	1	0	1
a/-b=-x/-x	0	1	1
____=C	0	1	1
____=b-b-cx	1	0	1
x+a-a=b-x	0	1	1
a=b+c(x-	0	1	1
____=bx+b(-c)	1	0	1
a=cx-x	1	0	1
____=b(b)+x(bx)	0	1	1
(x+b)=a	1	0	1
a-a+x=ax	0	1	1
____=\	0	1	1
bx=bx+c-bx	1	0	1
bx+c=d	1	0	1
a+b=cx+-b+b	1	0	1
____=o	0	1	1
-a+ax=a	1	0	1
____=k	0	1	1
a+x-e=____	0	1	1
b+x-b=b-x	0	1	1
-d+ax=-e	0	1	1
ax-b=cx+b	0	1	1
____=cx+-d	1	0	1
a=a*-c	0	1	1
a+d=b+cx+d-d	1	0	1
d`=____	0	1	1
a+-b=-x	1	0	1
dx-e=a-dx-e	0	1	1
d+bx-a=c	0	1	1
____=(	0	1	1
-d+ax-e=-b	1	0	1
-e=-ax-c=____	0	1	1
a=b[bx]	0	1	1
a=b(cx)+c-d	0	1	1
ax=ax	0	1	1
-cx+c=____	1	0	1
x=b=-a	0	1	1
b=a+-b	0	1	1
a+0=x=____	0	1	1
____=b-b+c(x-c)	1	0	1
bx=-b	1	0	1
____=b(bx)+b(-c)	0	1	1
b(bx)+a(-a)=____	0	1	1
-x-a=b-a	0	1	1
-a+dx-e=____	0	1	1
-e+-fx=____	0	1	1
-a/-a=-a	0	1	1
-a+aX=b	1	0	1
a=b+(cx)+b(-d)	0	1	1
/-x=____	0	1	1
a-d=b+cx-d	0	1	1
x+a-b=-b	0	1	1
____=a+a-a	0	1	1
ax+e=____	0	1	1
c+ax-e=d	1	0	1
a+b=-b+b*cx	0	1	1
a/-b=-b	0	1	1
-b=-b	0	1	1
a/b=bx/	0	1	1
a+b(x)b(-c)=d	0	1	1
d=cx+-e	0	1	1
a-a+bx-c=d-a	1	0	1
c-c+a(x+b)=-d-c	1	0	1
ax(a)+b(a)=c	1	0	1
a=b+c(x)+b-d	0	1	1
____=-b+c(X-d+d)	0	1	1
-cedfegsszf=____	0	1	1
bx-a+a=c-a	0	1	1
ax-c=c	1	0	1
a+=____	0	1	1
b(bx)b(-a)=____	0	1	1
e/b=____	0	1	1
0=bx=____	0	1	1
a=bx-cx	1	0	1
c+a(b)+a(x)=-d	1	0	1
bx-c=c	1	0	1
ax-b-ax=cx-cx	0	1	1
x=0=____	0	1	1
bx-c=e	1	0	1
a-x=b-x	0	1	1
ax+-b+b=c=b	0	1	1
ax+-ax-c=____	0	1	1
a=-e+cX	0	1	1
b-ax=cx-ax	0	1	1
-c=cx+b-b	1	0	1
e=bx	0	1	1
x-x+a=x/x-b	0	1	1
a=0+x	0	1	1
____=x-b-b	0	1	1
a=cx-c+-b	1	0	1
a-x+-x=____	0	1	1
d(aX-b+b)=____	0	1	1
--a/-b=____	0	1	1
ax-ax=bx-ax	0	1	1
ax=a=____	0	1	1
x+-a-a=____	0	1	1
c-d=____	1	0	1
a/a(x-b)=a/a	1	0	1
-a--b=____	0	1	1
a--c=bx+c-c	0	1	1
ax=c-c	0	1	1
____=ax-b-ax	1	0	1
b-ax=____	0	1	1
ax+a-a=c	1	0	1
-a/-b=-bx/-a	0	1	1
a+bx-d=c	1	0	1
a+-a+bx=c+a	1	0	1
____=fx-g+h	0	1	1
(a*-b)+(a*bx)=c	1	0	1
dx=-e=____	0	1	1
x=a-b\	0	1	1
a-a+x=b-b+x	0	1	1
(a*-b)+=c	0	1	1
a=-b+cx+(-c)	1	0	1
-d(cx)=____	0	1	1
a=bx+b+-b	0	1	1
-a/-b=-bx/-bx	0	1	1
a=f(dx)+e	0	1	1
a=b+c*X-c	0	1	1
a-e=____	1	0	1
e=-x	0	1	1
b(x-c)=____	1	0	1
____=c*x/c	0	1	1
a=-b+(cx-c)	1	0	1
c=cx	0	1	1
-b--b+ax=-b-a	0	1	1
ax=c--b	1	0	1
a=bx-b=____	0	1	1
-a/-c+bx=____	0	1	1
____=a(x-a)/a	1	0	1
ax=a--b	1	0	1
b-a=a-a+	0	1	1
c=bx+b+-b	1	0	1
aX-a+a=____	0	1	1
-a+bx/a=____	0	1	1
a(bx)+a(c)=a	0	1	1
b-cx=____	0	1	1
b-a=b-x	0	1	1
d-a+ax=c-d	1	0	1
ax+a=b-b-cx	0	1	1
ax/-d=____	0	1	1
a+b*x+b*a=c	1	0	1
a=a(x)-d	0	1	1
x--b=-b	0	1	1
____=0--x	0	1	1
d+ax+b=____	0	1	1
-b+dx=____	0	1	1
a=+x	0	1	1
____=b+b+x	0	1	1
b(bx)+b(-a)=____	0	1	1
-x+a-c=c	0	1	1
+bx=____	0	1	1
(-e)+c=____	0	1	1
(-b+x)=-d	1	0	1
a-0+x=____	0	1	1
x-o=-a	0	1	1
x+a-a=ax	0	1	1
d=(x-c	0	1	1
x-a=b-a	0	1	1
____=bx+d--bx	0	1	1
a+bx+c=____	1	0	1
d=b(bx+c)	0	1	1
x+a=-b=____	0	1	1
x=ax	0	1	1
ax-b+b=bx+bx+c	0	1	1
____=-x/-	0	1	1
ax-ax-b=cx-a	0	1	1
____=b*x+c*x+b-c+c-c	0	1	1
a(bX)+a(-c)=____	0	1	1
-ex-c=____	0	1	1
a-x-a=b+a	0	1	1
X+a=____	0	1	1
a(-b=-e	0	1	1
ax+b-b=uyuycdd	0	1	1
cx+-b=____	0	1	1
*-b=____	0	1	1
ax-ax=ax-bx	0	1	1
(a(-b+x)-c)+c=____	1	0	1
____=b+c(x-c)	0	1	1
dx+_e=____	0	1	1
bx+c-c=d	0	1	1
a-d=-d+b(cx)+b(c)	0	1	1
x=a-a=0-a	0	1	1
c-/-b=____	0	1	1
a/c=cx	1	0	1
-a+a+bx=b	1	0	1
a-x-a=b+x	0	1	1
c=bx-d	0	1	1
a=b+	0	1	1
cx+a(x)+a(b)=-d	0	1	1
c=cx-d+d	0	1	1
b(bx)+b(-a)+a=c	1	0	1
a=b/-a	0	1	1
a=b+c*x-d*d	0	1	1
ax-c+d=b	1	0	1
(ax+b)=____	1	0	1
-b/-x=____	0	1	1
a+b=-b+b#x	0	1	1
a=a(x)+c(-c)	0	1	1
ax=bx-c+c	0	1	1
0+-e=____	0	1	1
____=a-a+x	1	0	1
-a+a+bx=-	0	1	1
a-b=c=____	0	1	1
a=-b+cx+c-d	0	1	1
a=b+c*-bx/a	0	1	1
d=cx/c	0	1	1
x\=____	0	1	1
a-b=x=c	0	1	1
b+ax-d=____	1	0	1
-/-b=____	0	1	1
a-a-x=b-b	0	1	1
a(-b)+(bx)=c	0	1	1
0-x=____	0	1	1
a-b=-b+b-b	0	1	1
a=b+c(x)+b+c(d)	0	1	1
a-c=bx+c	0	1	1
b(bx)+b(c)=d	1	0	1
ax/a=bx/a	0	1	1
ax-b=b=____	0	1	1
d=-b+cx	1	0	1
c=bx-bx+c	0	1	1
d=(cx+c)	1	0	1
cx+a-cx=____	1	0	1
a=b+x+b	0	1	1
rr=bx	0	1	1
ax=bx	0	1	1
-x/b=a	0	1	1
a-cx=____	0	1	1
ax-ax=dx-c	1	0	1
a=c/x	0	1	1
-b+bx+b=____	0	1	1
a*ax+a=____	1	0	1
ax+a-a=-b-a	1	0	1
b-b-x=c-b	1	0	1
a-b=b-ax-b	1	0	1
a+-d=-d+cx	0	1	1
____=-x-a	0	1	1
____=bx-b-c-c	0	1	1
-x=c/-d	0	1	1
a-b=-x+-b-b	0	1	1
____=b/b+cx	0	1	1
-a-a+ax=____	0	1	1
-b=cx+b	0	1	1
meme=-x	0	1	1
ex=f	0	1	1
a-x-a=b	0	1	1
a(ax-b)=c	1	0	1
a=-x+b	1	0	1
a=b+b=b	0	1	1
a=b(x)+c	0	1	1
a=b(x)+d	1	0	1
-b=ax/a	1	0	1
a-x=b-b-x	0	1	1
a+dx-a=____	0	1	1
-bx/-b=-a/-bx	0	1	1
-x+a-a=-b	1	0	1
+a-bx=____	0	1	1
____=x=-b	0	1	1
____=x=-a	0	1	1
a(ax-b)=____	1	0	1
d/d(ax-b)=____	1	0	1
a(x)=a(-e)=____	0	1	1
ax-e-c=____	0	1	1
____=bx-ax	0	1	1
a=b+c*x+c*-c	1	0	1
a+b(bx)b(-a)=____	0	1	1
-x=hh	0	1	1
a-b-x=____	0	1	1
a-b=b+x-x	0	1	1
a=-cx-e	0	1	1
a+b=b-x-b	0	1	1
ax+-ax=x-b	1	0	1
ax+-ax=x-c	1	0	1
+x=-x	0	1	1
a-b=-x+b-a	0	1	1
-c=b-x=b	0	1	1
dx-e+a=____	0	1	1
ax=x-x+c	0	1	1
a(x+b)-a=____	0	1	1
a-ax+c=____	0	1	1
c(dx)+c(-d)=____	1	0	1
what+a=____	0	1	1
a+ax-a+b=____	1	0	1
a=-x+c-c	1	0	1
-x-=____	0	1	1
____=b(c+x)/b	1	0	1
x-x+c=b-x	0	1	1
e(x)+b(-c)=-d	0	1	1
-d+ax-e=____	1	0	1
c-c+ax(x+b)=-d-c	0	1	1
a=cx+-b	0	1	1
(ax+b)-b=c-b	1	0	1
a+b=-c-b	0	1	1
e=cx-f	0	1	1
ax-b+b=-c=b	0	1	1
a-x-a=-c	1	0	1
a=cx+(-d)	1	0	1
a=-c-bx+c	0	1	1
b(-d)+b(x)=c	1	0	1
a+b(bx-a)-a=____	1	0	1
cx/a=cx	0	1	1
-x+a-a=b-b	0	1	1
____=b+cx-c	0	1	1
b(bx-a)/b=____	0	1	1
a(x)+(b)=c	0	1	1
____=-b+c(x)	0	1	1
-x/-b=-x/-	0	1	1
a+b*x+b*a=____	1	0	1
a=-d(dx)+(d)	0	1	1
0-b=____	1	0	1
0+c=____	0	1	1
a(bx)a(-b)=____	0	1	1
a=fx-b(d)+e	1	0	1
-x==c	0	1	1
a+b=-b+cx-a	0	1	1
-x+-a=____	0	1	1
-c=o	0	1	1
a=ex+-d	0	1	1
d(-c)+d(x)=____	0	1	1
b+b=a=b	0	1	1
a+bx=-d+c	1	0	1
(x)+b(-c)=-d	0	1	1
a-b=b-x-a	0	1	1
c.d=x	0	1	1
d=cx-c	1	0	1
ax-ax=ax+b	1	0	1
ax-ax=ax+c	1	0	1
0+ax=____	1	0	1
a=(cx-d)+e	0	1	1
b(b/bx-a)=____	0	1	1
a=-b(x-d)	0	1	1
ax/a=-b/ax	0	1	1
;i=____	0	1	1
-x+a-a=a-c	0	1	1
a(x-b)/a=c	1	0	1
____=-ax/ax	0	1	1
a+b(x+a)=____	0	1	1
a-b=b-b+c(x-c)	1	0	1
ax+b-b=c/b	0	1	1
(x-b)=-d	1	0	1
____=a(bx)+a(c)	0	1	1
a/-b=-x/a	0	1	1
b-x-b=b-x	0	1	1
____=-c+b	1	0	1
bx/b=c/b	1	0	1
-d=dx=e	0	1	1
d-x=____	0	1	1
a=bx+b*-c+c	0	1	1
x+a-a=a+a	0	1	1
-a-a-x=____	0	1	1
c=-b+b-ax	1	0	1
a-=b-b-cx	0	1	1
b-a=a-c-x	0	1	1
a/b=b(bx+c)/b	1	0	1
____=e+cx	1	0	1
ax-cx+b=cx-cx-d	1	0	1
x-a+a=0+a	0	1	1
ax-b-ax=cx-az	0	1	1
a=b(cx-d)	0	1	1
ax+=a	0	1	1
x=ax-b	0	1	1
b+a=bx	0	1	1
-a+a+x=____	0	1	1
-a--a+bx=-a--c	0	1	1
ax+b-ax=dx	1	0	1
-x+c+x=____	0	1	1
dx-c=a	0	1	1
c-ax-b=____	0	1	1
ax+b-b=-c+d	0	1	1
a/b=bx?b	0	1	1
a=b+c*x-c/c+b	0	1	1
-e=bx-c	1	0	1
o=x	0	1	1
dx-c=x	0	1	1
a+-b+bX=____	0	1	1
b(bx)+b(-a)+a=____	1	0	1
-b+X=a	0	1	1
a+b(x)-e=____	1	0	1
ax=b--a	1	0	1
c(dX)+c(-d)=____	0	1	1
____=-x--b	0	1	1
-a+a+bx=c-	0	1	1
a+bx=x	0	1	1
(-b+X)=a	0	1	1
a/b=b(bx)+b(c)	0	1	1
a+b(bx)-b=c	1	0	1
a+bx=b	0	1	1
a+d=bx+d	0	1	1
-a=ex-f	1	0	1
-cx+c=-d	1	0	1
-a+bx+a=b	1	0	1
a-(-c)=____	1	0	1
-x=-c+a	0	1	1
a+b=ax	1	0	1
a-b+c=cx	0	1	1
a-a-b-a=____	0	1	1
c.a=____	0	1	1
-cx=b	0	1	1
a-bx=bx+c-bx	0	1	1
a(bx)a(-c)=____	0	1	1
ax/a=ax*b	0	1	1
a=b+c*x-c/a	0	1	1
ax+cx+b=____	0	1	1
a-cx-a=b-a	1	0	1
a*-b=____	0	1	1
ax-bx/b=____	0	1	1
(ax-b)+b=c+b	1	0	1
dx+a=ex	0	1	1
ax+bx=bx+c	0	1	1
a(b)+x+c=____	0	1	1
____=b+c*x-c/a	0	1	1
____=x=a	0	1	1
-bx=c	0	1	1
-bx=x	0	1	1
a/=bx/	0	1	1
(x+a)-a=a-a	1	0	1
c-b=-x	0	1	1
____=xxb	0	1	1
-b(x)+b(-c)=-d	0	1	1
a=a(cx-d)+e	0	1	1
b-a=x=____	0	1	1
____=-x/	0	1	1
____=bx+b-b	1	0	1
____=bx+b-c	0	1	1
a=-d+c(x)c(-e)	0	1	1
____=b(cx)-b(d)+e	1	0	1
ax-ax-b=cx/-d	0	1	1
a(bx-c)=____	0	1	1
____=b-a-x	0	1	1
a-x=x+-x	0	1	1
b(bx)+=____	0	1	1
a+b=b-x+x	0	1	1
b/b(bx-a)=____	0	1	1
a=a-0	0	1	1
____=-b-cx+b	1	0	1
ax+-b=b	1	0	1
____=cx+ax	0	1	1
-x+-x=x=____	0	1	1
ax+bx+c-c=____	0	1	1
a+x=b-a	0	1	1
x+b-b=ax-b	1	0	1
-b+x=c	1	0	1
a+x=-a	0	1	1
a+x=-b	0	1	1
c=a(x)=____	0	1	1
____=b+c*x-c-a	0	1	1
e=-dx	0	1	1
____=a/-a	0	1	1
a/b=c	0	1	1
____=bx/-c	0	1	1
a+b(x)+d=c	1	0	1
____=ex-f	1	0	1
cx-b=0	1	0	1
e+fx=____	0	1	1
____=dx+____	0	1	1
-a/e=b(cx-d)/b	0	1	1
____=ax+cx	0	1	1
nnfnk=____	0	1	1
-c=-a-x	0	1	1
-a/-b=a	0	1	1
-a/-b=c	0	1	1
a+c=bx-c=c	0	1	1
-c=-a-b	0	1	1
a+x-a=-x+b+x	0	1	1
a(bx-b)/a=c	1	0	1
-a/-a=-x/-x	0	1	1
-x=b*a	0	1	1
a+dx=c	0	1	1
x-=-b	0	1	1
x=-a/a	1	0	1
a-=b-x-b	0	1	1
d(x+a)=____	0	1	1
bx=a+c	0	1	1
a=b-c*-d*c	0	1	1
____=b-x-x	0	1	1
a+x=a+x	0	1	1
a=b-c*-d*d	0	1	1
ax-b+b=a-b	0	1	1
cx-a=b-b-cx	0	1	1
-a--c=____	0	1	1
-c/-c=____	0	1	1
-c-x=-d	0	1	1
a=-b+cx+c*-d	1	0	1
-x/-b=-a/-x	0	1	1
-x+bx=____	0	1	1
____=+-b-cx	0	1	1
a*x+a*-e=____	0	1	1
-bx/-b=-a/-x	0	1	1
a-b=b-b+-a	0	1	1
a-x-b=-c	0	1	1
a=-b+c(x)+c(d)	0	1	1
c(dx)+c(-e)=____	1	0	1
a*c=____	0	1	1
a=c-d	0	1	1
____=dx-c	0	1	1
a=-b+c(x)-c(d)	1	0	1
d=b+cx-b	1	0	1
-ax=c-b	1	0	1
d=b+cx-e	0	1	1
e=bx+d	1	0	1
a-b=x-b-b	0	1	1
____=a+b-b	0	1	1
a+b*-c+b*x=____	1	0	1
x-a=0-a	0	1	1
x(a)+b(a)=c	1	0	1
-a+a-x=b-a	1	0	1
x-a-a=____	0	1	1
ax-cx=-cx+cx+b	1	0	1
e=-b+b+c(x-d)	1	0	1
/-b=____	0	1	1
x+0=a=____	0	1	1
d+a[-b+x]-d=c-d	0	1	1
a+b+ax=____	0	1	1
a+bx+=____	0	1	1
0=a/a	0	1	1
x+a-a=x-b	0	1	1
a(-b)+a(x)-c=-d	1	0	1
c(-a+x)-/c=____	0	1	1
a+bx=c-b	0	1	1
a(x-b)/a=a/a	1	0	1
____=d-a	1	0	1
ax=b-b=c-b	0	1	1
____=e+bx	1	0	1
a-x+c=____	0	1	1
-a-a\=____	0	1	1
____=b*cx	0	1	1
bx-b=d	1	0	1
bx-b=c	1	0	1
a*ax+a=c+b	0	1	1
dx+(-a)+b=____	1	0	1
a=b+c(x)-c(-d)	0	1	1
-c-x=____	0	1	1
-c=c	0	1	1
-a+-b=____	0	1	1
ax+-a+a=b+a	1	0	1
X+a-a=____	0	1	1
b/c=x	0	1	1
____=b+cx+-d	1	0	1
____=b.d	0	1	1
d=(x-c)	1	0	1
-a+bx+=____	0	1	1
-.c=____	0	1	1
a--x.=____	0	1	1
c+a(x)+a(b)=d	0	1	1
a/-b=-ax	0	1	1
a=bx+b*-c	1	0	1
____=b(cx-d)+e-e	1	0	1
ax=cx+ax	0	1	1
a(x-b)=-d	0	1	1
ax+b-b=c-d	0	1	1
a/b+cx=____	0	1	1
a+bx/b=____	0	1	1
-a+a+ax=a+a	1	0	1
b+a=-x	0	1	1
a+b=-b+cx-	0	1	1
ax+-b=c+d	0	1	1
theanswer=b	0	1	1
a=bx+b-a=____	0	1	1
____=cx+cx-d	0	1	1
____=b(cx)+b(-d)	1	0	1
0+a=ax-a+a	1	0	1
a+bx-a=d	1	0	1
____=b+x+b	0	1	1
a-a+(-x)=____	1	0	1
a*bx+a*-b=c	1	0	1
a-b-cx=cx-cx	0	1	1
a(x+b)=-d	0	1	1
a+a+-x=____	0	1	1
____=/-x	0	1	1
a-a(x)=____	0	1	1
a=e-cx	0	1	1
b=ax	0	1	1
-x--bx+a=-bx--bx+c	1	0	1
a-b=-x+-b	0	1	1
x=0+a=____	0	1	1
-x/-b=-x/c	0	1	1
ax*a=____	0	1	1
a=cx-c-b	1	0	1
a(x+b)=-a	0	1	1
a(-b)+(b)x=c	0	1	1
\a-b=____	0	1	1
x=a=b	0	1	1
ax-b-ax=cx	0	1	1
a+b*bx+b*-a=____	1	0	1
b(bx-a+a)=____	0	1	1
0+a-a=____	0	1	1
-b+a=____	0	1	1
a/-bx=____	0	1	1
a=b*cx(-d)+e	0	1	1
x+a-a=bx	0	1	1
c=d(bx+b)	1	0	1
ax+(b)=c	0	1	1
-a-b=-x/-b	0	1	1
a(x+b)=b	0	1	1
____=0+a	0	1	1
x-a=a-a	0	1	1
-d+a(x)=____	1	0	1
a-b=b-b+X	0	1	1
-a=b--b	0	1	1
a=a-	0	1	1
ax/-c=____	0	1	1
ax/a=a	1	0	1
-b+bx=b	1	0	1
a-cx-a=____	1	0	1
ax/a=d	1	0	1
a*x+a*-b+c=____	1	0	1
-a-(-c)=____	0	1	1
-a=b(cx)+b(-d)	1	0	1
____=b(bx)+b	1	0	1
a+-b=b/b	0	1	1
x=-a-x	0	1	1
cx+b-cx=____	1	0	1
a=-d+c(x)+c(-e)	1	0	1
-e-x-c=____	0	1	1
a-a+bx+c-a=____	0	1	1
a*bx=a*-c=____	0	1	1
b=c-b	0	1	1
b/-a=-x/-c	0	1	1
____=b+c*x-c/a+c	0	1	1
c-a=____	0	1	1
bx/b=c-a	0	1	1
-ax+cx+b=____	1	0	1
a==____	0	1	1
____=/-a	0	1	1
____=-b+cx--c	0	1	1
____=-b+cx--b	1	0	1
d=cx--b	0	1	1
a+x-x=-x+b+x	0	1	1
ax-b+c+b=-d+b	1	0	1
ax-bx=bx-bz+c	0	1	1
a=-d+b(c+b(c)	0	1	1
a=d(x)+-e	0	1	1
a+bx+b=d	0	1	1
ax-c=c-c	0	1	1
a=e+b(cx)+b(d)	0	1	1
a*x+a*-e+c=____	1	0	1
a-x-a=bx	0	1	1
a-x-x=____	0	1	1
a(ax+b)=____	0	1	1
-a+ax-c=____	0	1	1
a-b=b+c(x-c)-b	1	0	1
ax=b*a	0	1	1
a=b*cx-b*d+e	1	0	1
a*x-b=____	0	1	1
a=-ax/-a	0	1	1
-ax+a=____	0	1	1
a-bx=-b	1	0	1
d=c-d	0	1	1
a=d	0	1	1
a-x=a=____	0	1	1
ax-c+c=bx+c	1	0	1
____=-d+b(cx)=b(c)	0	1	1
a=b+c*x-c/a-c	0	1	1
-b-b-x=____	0	1	1
b-b+x=____	0	1	1
a=b+b	0	1	1
b=ax+cx	0	1	1
x=--a	0	1	1
-c*-d=____	0	1	1
/-a=____	0	1	1
